case_id,resource,role,activity,start_time,end_time,enabled_time,age,priority
0,Clerk-000001,Clerk,Check application form completeness,2023-02-09T08:00:00.000,2023-02-09T08:05:04.420,2023-02-09T08:00:00.000,21,high
0,Clerk-000002,Clerk,Return application back to applicant,2023-02-09T08:05:04.420,2023-02-09T08:10:04.420,2023-02-09T08:05:04.420,65,high
1,Clerk-000003,Clerk,Check application form completeness,2023-02-09T08:30:00.000,2023-02-09T08:31:21.205,2023-02-09T08:30:00.000,28,high
1,AML Investigator-000001,AML Investigator,AML check,2023-02-09T08:31:21.205,2023-02-09T08:38:38.828,2023-02-09T08:31:21.205,53,high
1,Clerk-000004,Clerk,Check credit history,2023-02-09T08:31:21.205,2023-02-09T08:47:39.225,2023-02-09T08:31:21.205,18,high
1,Appraiser-000001,Appraiser,Appraise property,2023-02-09T08:31:21.205,2023-02-09T08:51:23.899,2023-02-09T08:31:21.205,32,high
2,Clerk-000005,Clerk,Check application form completeness,2023-02-09T09:00:00.000,2023-02-09T09:06:01.923,2023-02-09T09:00:00.000,39,medium
0,Applicant-000001,Applicant,Applicant completes form,2023-02-09T08:10:04.420,2023-02-09T09:10:04.420,2023-02-09T08:10:04.420,19,high
1,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-09T08:51:23.899,2023-02-09T09:11:23.899,2023-02-09T08:51:23.899,45,high
2,Appraiser-000002,Appraiser,Appraise property,2023-02-09T09:06:01.923,2023-02-09T09:14:20.081,2023-02-09T09:06:01.923,39,medium
1,Loan Officer-000002,Loan Officer,Design loan offer,2023-02-09T09:11:23.899,2023-02-09T09:19:01.634,2023-02-09T09:11:23.899,55,high
1,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-09T09:19:01.634,2023-02-09T09:39:01.634,2023-02-09T09:19:01.634,50,high
3,Clerk-000008,Clerk,Check application form completeness,2023-02-09T09:30:00.000,2023-02-09T09:39:23.764,2023-02-09T09:30:00.000,24,medium
0,Clerk-000007,Clerk,Check application form completeness,2023-02-09T09:10:04.420,2023-02-09T09:41:38.460,2023-02-09T09:10:04.420,38,high
3,AML Investigator-000001,AML Investigator,AML check,2023-02-09T09:39:23.764,2023-02-09T09:44:03.425,2023-02-09T09:39:23.764,55,medium
2,AML Investigator-000002,AML Investigator,AML check,2023-02-09T09:06:01.923,2023-02-09T09:44:47.607,2023-02-09T09:06:01.923,33,medium
3,Appraiser-000001,Appraiser,Appraise property,2023-02-09T09:39:23.764,2023-02-09T09:45:58.199,2023-02-09T09:39:23.764,38,medium
0,AML Investigator-000001,AML Investigator,AML check,2023-02-09T09:44:03.425,2023-02-09T09:57:08.535,2023-02-09T09:41:38.460,38,high
0,Appraiser-000002,Appraiser,Appraise property,2023-02-09T09:41:38.460,2023-02-09T09:57:32.147,2023-02-09T09:41:38.460,21,high
0,Clerk-000002,Clerk,Check credit history,2023-02-09T09:41:38.460,2023-02-09T09:57:50.368,2023-02-09T09:41:38.460,49,high
0,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-09T09:57:50.368,2023-02-09T10:17:50.368,2023-02-09T09:57:50.368,37,high
4,Clerk-000003,Clerk,Check application form completeness,2023-02-09T10:00:00.000,2023-02-09T10:20:23.497,2023-02-09T10:00:00.000,32,high
3,Clerk-000001,Clerk,Check credit history,2023-02-09T09:39:23.764,2023-02-09T10:22:19.619,2023-02-09T09:39:23.764,18,medium
4,Clerk-000004,Clerk,Return application back to applicant,2023-02-09T10:20:23.497,2023-02-09T10:25:23.497,2023-02-09T10:20:23.497,54,high
2,Clerk-000006,Clerk,Check credit history,2023-02-09T09:06:01.923,2023-02-09T10:32:36.365,2023-02-09T09:06:01.923,56,medium
5,Clerk-000005,Clerk,Check application form completeness,2023-02-09T10:30:00.000,2023-02-09T10:35:00.888,2023-02-09T10:30:00.000,61,medium
0,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-09T10:17:50.368,2023-02-09T10:37:46.696,2023-02-09T10:17:50.368,34,high
5,Clerk-000008,Clerk,Check credit history,2023-02-09T10:35:00.888,2023-02-09T10:39:42.108,2023-02-09T10:35:00.888,35,medium
3,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-09T10:22:19.619,2023-02-09T10:42:19.619,2023-02-09T10:22:19.619,37,medium
1,Clerk-000007,Clerk,Cancel application,2023-02-09T10:39:01.634,2023-02-09T10:44:01.634,2023-02-09T10:39:01.634,42,high
2,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-09T10:32:36.365,2023-02-09T10:52:36.365,2023-02-09T10:32:36.365,65,medium
3,Loan Officer-000003,Loan Officer,Design loan offer,2023-02-09T10:42:19.619,2023-02-09T10:57:28.246,2023-02-09T10:42:19.619,61,medium
0,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-09T10:37:46.696,2023-02-09T10:57:46.696,2023-02-09T10:37:46.696,38,high
6,Clerk-000002,Clerk,Check application form completeness,2023-02-09T11:00:00.000,2023-02-09T11:01:48.739,2023-02-09T11:00:00.000,64,medium
2,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-09T10:52:36.365,2023-02-09T11:06:32.329,2023-02-09T10:52:36.365,25,medium
6,AML Investigator-000001,AML Investigator,AML check,2023-02-09T11:01:48.739,2023-02-09T11:07:19.825,2023-02-09T11:01:48.739,58,medium
3,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-09T10:57:28.246,2023-02-09T11:17:28.246,2023-02-09T10:57:28.246,63,medium
5,AML Investigator-000002,AML Investigator,AML check,2023-02-09T10:35:00.888,2023-02-09T11:18:47.525,2023-02-09T10:35:00.888,22,medium
5,Appraiser-000001,Appraiser,Appraise property,2023-02-09T10:35:00.888,2023-02-09T11:21:05.272,2023-02-09T10:35:00.888,28,medium
4,Applicant-000001,Applicant,Applicant completes form,2023-02-09T10:25:23.497,2023-02-09T11:25:23.497,2023-02-09T10:25:23.497,61,high
2,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-09T11:06:32.329,2023-02-09T11:26:32.329,2023-02-09T11:06:32.329,37,medium
6,Clerk-000003,Clerk,Check credit history,2023-02-09T11:01:48.739,2023-02-09T11:29:52.035,2023-02-09T11:01:48.739,28,medium
5,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-09T11:21:05.272,2023-02-09T11:41:05.272,2023-02-09T11:21:05.272,44,medium
5,Loan Officer-000002,Loan Officer,Design loan offer,2023-02-09T11:41:05.272,2023-02-09T11:41:07.632,2023-02-09T11:41:05.272,45,medium
6,Appraiser-000002,Appraiser,Appraise property,2023-02-09T11:01:48.739,2023-02-09T11:54:31.775,2023-02-09T11:01:48.739,45,medium
5,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-09T11:41:07.632,2023-02-09T12:01:07.632,2023-02-09T11:41:07.632,54,medium
0,Clerk-000006,Clerk,Cancel application,2023-02-09T11:57:46.696,2023-02-09T12:02:46.696,2023-02-09T11:57:46.696,26,high
8,Clerk-000005,Clerk,Check application form completeness,2023-02-09T12:00:00.000,2023-02-09T12:09:29.541,2023-02-09T12:00:00.000,28,high
8,Appraiser-000001,Appraiser,Appraise property,2023-02-09T12:09:29.541,2023-02-09T12:10:12.098,2023-02-09T12:09:29.541,32,high
4,Clerk-000001,Clerk,Check application form completeness,2023-02-09T11:25:23.497,2023-02-09T12:10:58.447,2023-02-09T11:25:23.497,38,high
4,AML Investigator-000002,AML Investigator,AML check,2023-02-09T12:10:58.447,2023-02-09T12:11:49.297,2023-02-09T12:10:58.447,54,high
6,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-09T11:54:31.775,2023-02-09T12:14:31.775,2023-02-09T11:54:31.775,40,medium
7,Clerk-000004,Clerk,Check application form completeness,2023-02-09T11:30:00.000,2023-02-09T12:18:04.174,2023-02-09T11:30:00.000,29,low
3,Clerk-000002,Clerk,Approve application,2023-02-09T12:17:28.246,2023-02-09T12:22:28.246,2023-02-09T12:17:28.246,23,medium
7,Clerk-000003,Clerk,Return application back to applicant,2023-02-09T12:18:04.174,2023-02-09T12:23:04.174,2023-02-09T12:18:04.174,28,low
6,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-09T12:14:31.775,2023-02-09T12:23:23.205,2023-02-09T12:14:31.775,47,medium
8,AML Investigator-000001,AML Investigator,AML check,2023-02-09T12:09:29.541,2023-02-09T12:28:27.950,2023-02-09T12:09:29.541,21,high
8,Clerk-000008,Clerk,Check credit history,2023-02-09T12:09:29.541,2023-02-09T12:28:28.230,2023-02-09T12:09:29.541,42,high
2,Clerk-000006,Clerk,Approve application,2023-02-09T12:26:32.329,2023-02-09T12:31:32.329,2023-02-09T12:26:32.329,44,medium
6,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-09T12:23:23.205,2023-02-09T12:43:23.205,2023-02-09T12:23:23.205,33,medium
8,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-09T12:28:28.230,2023-02-09T12:48:28.230,2023-02-09T12:28:28.230,56,high
4,Clerk-000007,Clerk,Check credit history,2023-02-09T12:10:58.447,2023-02-09T12:49:47.090,2023-02-09T12:10:58.447,33,high
8,Loan Officer-000002,Loan Officer,Design loan offer,2023-02-09T12:48:28.230,2023-02-09T12:52:00.196,2023-02-09T12:48:28.230,39,high
9,Clerk-000005,Clerk,Check application form completeness,2023-02-09T12:30:00.000,2023-02-09T12:57:11.501,2023-02-09T12:30:00.000,26,low
9,Clerk-000001,Clerk,Check credit history,2023-02-09T12:57:11.501,2023-02-09T12:58:18.829,2023-02-09T12:57:11.501,45,low
9,AML Investigator-000002,AML Investigator,AML check,2023-02-09T12:57:11.501,2023-02-09T12:59:18.704,2023-02-09T12:57:11.501,18,low
5,Clerk-000002,Clerk,Approve application,2023-02-09T13:01:07.632,2023-02-09T13:06:07.632,2023-02-09T13:01:07.632,59,medium
4,Appraiser-000002,Appraiser,Appraise property,2023-02-09T12:10:58.447,2023-02-09T13:11:48.500,2023-02-09T12:10:58.447,55,high
8,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-09T12:52:00.196,2023-02-09T13:12:00.196,2023-02-09T12:52:00.196,34,high
7,Applicant-000001,Applicant,Applicant completes form,2023-02-09T12:23:04.174,2023-02-09T13:23:04.174,2023-02-09T12:23:04.174,22,low
7,Clerk-000003,Clerk,Check application form completeness,2023-02-09T13:23:04.174,2023-02-09T13:27:56.369,2023-02-09T13:23:04.174,23,low
4,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-09T13:11:48.500,2023-02-09T13:31:48.500,2023-02-09T13:11:48.500,58,high
7,Clerk-000008,Clerk,Check credit history,2023-02-09T13:27:56.369,2023-02-09T13:34:43.304,2023-02-09T13:27:56.369,54,low
11,Clerk-000006,Clerk,Check application form completeness,2023-02-09T13:30:00.000,2023-02-09T13:36:58.748,2023-02-09T13:30:00.000,40,low
7,AML Investigator-000001,AML Investigator,AML check,2023-02-09T13:27:56.369,2023-02-09T13:39:30.717,2023-02-09T13:27:56.369,61,low
11,Clerk-000007,Clerk,Return application back to applicant,2023-02-09T13:36:58.748,2023-02-09T13:41:58.748,2023-02-09T13:36:58.748,46,low
6,Clerk-000005,Clerk,Cancel application,2023-02-09T13:43:23.205,2023-02-09T13:48:23.205,2023-02-09T13:43:23.205,39,medium
7,Appraiser-000002,Appraiser,Appraise property,2023-02-09T13:27:56.369,2023-02-09T13:53:54.318,2023-02-09T13:27:56.369,47,low
10,Clerk-000004,Clerk,Check application form completeness,2023-02-09T13:00:00.000,2023-02-09T13:54:00.747,2023-02-09T13:00:00.000,61,medium
10,Clerk-000001,Clerk,Check credit history,2023-02-09T13:54:00.747,2023-02-09T13:55:36.245,2023-02-09T13:54:00.747,56,medium
4,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-09T13:31:48.500,2023-02-09T13:55:53.084,2023-02-09T13:31:48.500,61,high
9,Appraiser-000001,Appraiser,Appraise property,2023-02-09T12:57:11.501,2023-02-09T13:58:16.987,2023-02-09T12:57:11.501,36,low
10,AML Investigator-000002,AML Investigator,AML check,2023-02-09T13:54:00.747,2023-02-09T14:10:16.721,2023-02-09T13:54:00.747,47,medium
7,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-09T13:53:54.318,2023-02-09T14:13:54.318,2023-02-09T13:53:54.318,49,low
4,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-09T13:55:53.084,2023-02-09T14:15:53.084,2023-02-09T13:55:53.084,52,high
8,Clerk-000003,Clerk,Cancel application,2023-02-09T14:12:00.196,2023-02-09T14:17:00.196,2023-02-09T14:12:00.196,64,high
9,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-09T13:58:16.987,2023-02-09T14:18:16.987,2023-02-09T13:58:16.987,39,low
10,Appraiser-000002,Appraiser,Appraise property,2023-02-09T13:54:00.747,2023-02-09T14:21:26.232,2023-02-09T13:54:00.747,35,medium
9,Loan Officer-000003,Loan Officer,Design loan offer,2023-02-09T14:18:16.987,2023-02-09T14:38:38.688,2023-02-09T14:18:16.987,48,low
10,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-09T14:21:26.232,2023-02-09T14:41:26.232,2023-02-09T14:21:26.232,24,medium
