case_id,activity,resource,start_time,end_time
Case-1,Review Document,Editor_A,2025-06-06 20:03:26,2025-06-06 20:20:26
Case-1,Consult Legal Team,Legal_B,2025-06-06 20:20:38,2025-06-06 20:55:38
Case-1,Verify Sources,Bot_C,2025-06-06 20:21:09,2025-06-06 21:02:09
Case-1,Finalize Document,Legal_B,2025-06-06 21:08:09,2025-06-06 21:21:09
Case-10,Review Document,Editor_A,2025-06-21 20:06:26,2025-06-21 20:19:26
Case-10,Check for Plagiarism,Legal_B,2025-06-21 20:20:01,2025-06-21 20:58:01
Case-10,Consult Legal Team,Editor_A,2025-06-21 20:20:11,2025-06-21 21:07:11
Case-10,Verify Sources,Editor_A,2025-06-21 20:20:12,2025-06-21 20:58:12
Case-10,Finalize Document,Bot_C,2025-06-21 21:15:11,2025-06-21 21:27:11
Case-100,Review Document,Manager_D,2025-06-08 20:07:26,2025-06-08 20:59:26
Case-100,Consult Legal Team,Legal_B,2025-06-08 20:59:49,2025-06-08 22:09:49
Case-100,Check for Plagiarism,Editor_A,2025-06-08 20:59:53,2025-06-08 21:34:53
Case-100,Verify Sources,Bot_C,2025-06-08 21:00:22,2025-06-08 21:23:22
Case-100,Finalize Document,Bot_C,2025-06-08 22:18:49,2025-06-08 22:30:49
Case-11,Review Document,Manager_D,2025-06-13 20:07:26,2025-06-13 20:53:26
Case-11,Consult Legal Team,Legal_B,2025-06-13 20:53:53,2025-06-13 21:37:53
Case-11,Check for Plagiarism,Editor_A,2025-06-13 20:53:55,2025-06-13 21:53:55
Case-11,Verify Sources,Editor_A,2025-06-13 20:54:21,2025-06-13 21:16:21
Case-11,Finalize Document,Manager_D,2025-06-13 22:01:55,2025-06-13 22:07:55
Case-12,Review Document,Legal_B,2025-06-09 20:04:26,2025-06-09 20:20:26
Case-12,Verify Sources,Editor_A,2025-06-09 20:20:44,2025-06-09 21:26:44
Case-12,Check for Plagiarism,Bot_C,2025-06-09 20:21:01,2025-06-09 20:37:01
Case-12,Consult Legal Team,Bot_C,2025-06-09 20:21:06,2025-06-09 21:06:06
Case-12,Finalize Document,Bot_C,2025-06-09 21:29:44,2025-06-09 21:45:44
Case-13,Review Document,Bot_C,2025-06-02 20:10:26,2025-06-02 20:45:26
Case-13,Consult Legal Team,Legal_B,2025-06-02 20:45:49,2025-06-02 21:33:49
Case-13,Verify Sources,Editor_A,2025-06-02 20:46:13,2025-06-02 21:37:13
Case-13,Finalize Document,Bot_C,2025-06-02 21:47:13,2025-06-02 21:59:13
Case-14,Review Document,Legal_B,2025-06-12 20:03:26,2025-06-12 20:51:26
Case-14,Consult Legal Team,Manager_D,2025-06-12 20:51:56,2025-06-12 21:28:56
Case-14,Finalize Document,Editor_A,2025-06-12 21:32:56,2025-06-12 21:45:56
Case-15,Review Document,Legal_B,2025-05-29 20:08:26,2025-05-29 20:39:26
Case-15,Consult Legal Team,Bot_C,2025-05-29 20:39:35,2025-05-29 20:58:35
Case-15,Verify Sources,Bot_C,2025-05-29 20:39:47,2025-05-29 21:43:47
Case-15,Check for Plagiarism,Legal_B,2025-05-29 20:40:20,2025-05-29 21:05:20
Case-15,Finalize Document,Manager_D,2025-05-29 21:51:47,2025-05-29 21:57:47
Case-16,Review Document,Legal_B,2025-05-31 20:06:26,2025-05-31 20:26:26
Case-16,Consult Legal Team,Manager_D,2025-05-31 20:26:37,2025-05-31 20:52:37
Case-16,Finalize Document,Manager_D,2025-05-31 20:58:37,2025-05-31 21:03:37
Case-17,Review Document,Manager_D,2025-06-12 20:02:26,2025-06-12 20:15:26
Case-17,Consult Legal Team,Legal_B,2025-06-12 20:15:50,2025-06-12 20:41:50
Case-17,Verify Sources,Legal_B,2025-06-12 20:15:57,2025-06-12 20:33:57
Case-17,Check for Plagiarism,Editor_A,2025-06-12 20:16:24,2025-06-12 20:51:24
Case-17,Finalize Document,Legal_B,2025-06-12 20:54:24,2025-06-12 21:02:24
Case-18,Review Document,Manager_D,2025-06-02 20:09:26,2025-06-02 20:42:26
Case-18,Check for Plagiarism,Editor_A,2025-06-02 20:42:49,2025-06-02 21:25:49
Case-18,Verify Sources,Manager_D,2025-06-02 20:42:59,2025-06-02 21:43:59
Case-18,Finalize Document,Manager_D,2025-06-02 21:44:59,2025-06-02 21:58:59
Case-19,Review Document,Manager_D,2025-06-06 20:01:26,2025-06-06 20:50:26
Case-19,Check for Plagiarism,Legal_B,2025-06-06 20:51:11,2025-06-06 22:04:11
Case-19,Consult Legal Team,Bot_C,2025-06-06 20:51:23,2025-06-06 21:20:23
Case-19,Verify Sources,Legal_B,2025-06-06 20:51:23,2025-06-06 21:52:23
Case-19,Finalize Document,Legal_B,2025-06-06 22:10:11,2025-06-06 22:19:11
Case-2,Review Document,Bot_C,2025-05-27 20:03:26,2025-05-27 20:42:26
Case-2,Consult Legal Team,Editor_A,2025-05-27 20:42:33,2025-05-27 21:30:33
Case-2,Verify Sources,Bot_C,2025-05-27 20:43:20,2025-05-27 21:58:20
Case-2,Finalize Document,Legal_B,2025-05-27 22:07:20,2025-05-27 22:17:20
Case-20,Review Document,Legal_B,2025-06-18 20:05:26,2025-06-18 20:38:26
Case-20,Check for Plagiarism,Legal_B,2025-06-18 20:39:21,2025-06-18 20:56:21
Case-20,Finalize Document,Bot_C,2025-06-18 20:57:21,2025-06-18 21:14:21
Case-21,Review Document,Legal_B,2025-06-19 20:04:26,2025-06-19 20:57:26
Case-21,Verify Sources,Editor_A,2025-06-19 20:57:33,2025-06-19 21:19:33
Case-21,Check for Plagiarism,Editor_A,2025-06-19 20:57:39,2025-06-19 21:46:39
Case-21,Finalize Document,Bot_C,2025-06-19 21:51:39,2025-06-19 22:03:39
Case-22,Review Document,Manager_D,2025-06-03 20:04:26,2025-06-03 20:39:26
Case-22,Check for Plagiarism,Bot_C,2025-06-03 20:40:08,2025-06-03 21:30:08
Case-22,Finalize Document,Editor_A,2025-06-03 21:34:08,2025-06-03 21:40:08
Case-23,Review Document,Manager_D,2025-06-09 20:05:26,2025-06-09 21:04:26
Case-23,Consult Legal Team,Legal_B,2025-06-09 21:04:42,2025-06-09 21:58:42
Case-23,Finalize Document,Bot_C,2025-06-09 22:00:42,2025-06-09 22:09:42
Case-24,Review Document,Legal_B,2025-06-03 20:05:26,2025-06-03 20:40:26
Case-24,Verify Sources,Manager_D,2025-06-03 20:41:17,2025-06-03 21:41:17
Case-24,Finalize Document,Editor_A,2025-06-03 21:49:17,2025-06-03 22:06:17
Case-25,Review Document,Legal_B,2025-06-19 20:10:26,2025-06-19 20:51:26
Case-25,Consult Legal Team,Manager_D,2025-06-19 20:51:49,2025-06-19 21:50:49
Case-25,Verify Sources,Legal_B,2025-06-19 20:51:52,2025-06-19 21:10:52
Case-25,Finalize Document,Editor_A,2025-06-19 21:51:49,2025-06-19 22:02:49
Case-26,Review Document,Legal_B,2025-06-17 20:01:26,2025-06-17 20:51:26
Case-26,Check for Plagiarism,Manager_D,2025-06-17 20:51:53,2025-06-17 21:20:53
Case-26,Verify Sources,Editor_A,2025-06-17 20:51:57,2025-06-17 21:09:57
Case-26,Finalize Document,Legal_B,2025-06-17 21:25:53,2025-06-17 21:42:53
Case-27,Review Document,Bot_C,2025-06-07 20:04:26,2025-06-07 20:37:26
Case-27,Verify Sources,Legal_B,2025-06-07 20:37:58,2025-06-07 21:13:58
Case-27,Finalize Document,Bot_C,2025-06-07 21:23:58,2025-06-07 21:32:58
Case-28,Review Document,Bot_C,2025-06-02 20:04:26,2025-06-02 20:40:26
Case-28,Verify Sources,Manager_D,2025-06-02 20:40:38,2025-06-02 20:56:38
Case-28,Check for Plagiarism,Manager_D,2025-06-02 20:40:57,2025-06-02 21:28:57
Case-28,Finalize Document,Legal_B,2025-06-02 21:32:57,2025-06-02 21:49:57
Case-29,Review Document,Manager_D,2025-06-03 20:10:26,2025-06-03 20:23:26
Case-29,Check for Plagiarism,Bot_C,2025-06-03 20:24:13,2025-06-03 21:00:13
Case-29,Finalize Document,Editor_A,2025-06-03 21:01:13,2025-06-03 21:16:13
Case-3,Review Document,Bot_C,2025-06-20 20:04:26,2025-06-20 20:14:26
Case-3,Consult Legal Team,Legal_B,2025-06-20 20:14:39,2025-06-20 20:31:39
Case-3,Finalize Document,Legal_B,2025-06-20 20:35:39,2025-06-20 20:45:39
Case-30,Review Document,Editor_A,2025-06-13 20:01:26,2025-06-13 20:26:26
