case_id,activity,resource,start_time,end_time
Case-1,Submit Request,Manager_Jones,2025-06-09 20:00:41,2025-06-09 20:17:41
Case-1,Deny Request,Manager_Jones,2025-06-09 20:25:41,2025-06-09 20:37:41
Case-1,Close Request,System_Bot,2025-06-09 20:47:41,2025-06-09 21:04:41
Case-2,Submit Request,System_Bot,2025-06-02 20:01:41,2025-06-02 20:20:41
Case-2,Deny Request,Manager_Jones,2025-06-02 20:26:41,2025-06-02 20:55:41
Case-2,Close Request,System_Bot,2025-06-02 20:59:41,2025-06-02 21:11:41
Case-3,Submit Request,System_Bot,2025-06-09 20:01:41,2025-06-09 20:11:41
Case-3,Deny Request,Agent_Smith,2025-06-09 20:13:41,2025-06-09 20:42:41
Case-3,Close Request,Manager_Jones,2025-06-09 20:44:41,2025-06-09 20:55:41
Case-4,Submit Request,System_Bot,2025-06-21 19:58:41,2025-06-21 20:09:41
Case-4,Approve Request,Manager_Jones,2025-06-21 20:10:41,2025-06-21 20:31:41
Case-4,Close Request,Agent_Smith,2025-06-21 20:38:41,2025-06-21 21:05:41
Case-5,Submit Request,Manager_Jones,2025-06-22 20:04:41,2025-06-22 20:21:41
Case-5,Deny Request,Agent_Smith,2025-06-22 20:22:41,2025-06-22 20:28:41
Case-5,Close Request,System_Bot,2025-06-22 20:32:41,2025-06-22 20:48:41
Case-6,Submit Request,System_Bot,2025-05-28 19:57:41,2025-05-28 20:19:41
Case-6,Approve Request,Agent_Smith,2025-05-28 20:28:41,2025-05-28 20:58:41
Case-6,Close Request,Agent_Smith,2025-05-28 21:02:41,2025-05-28 21:32:41
Case-7,Submit Request,System_Bot,2025-06-06 19:57:41,2025-06-06 20:03:41
Case-7,Approve Request,System_Bot,2025-06-06 20:13:41,2025-06-06 20:38:41
Case-7,Close Request,System_Bot,2025-06-06 20:47:41,2025-06-06 21:11:41
Case-8,Submit Request,System_Bot,2025-06-15 20:04:41,2025-06-15 20:11:41
Case-8,Approve Request,Agent_Smith,2025-06-15 20:20:41,2025-06-15 20:50:41
Case-8,Close Request,Manager_Jones,2025-06-15 20:52:41,2025-06-15 21:07:41
Case-9,Submit Request,System_Bot,2025-05-29 19:58:41,2025-05-29 20:20:41
Case-9,Approve Request,Manager_Jones,2025-05-29 20:28:41,2025-05-29 20:55:41
Case-9,Close Request,System_Bot,2025-05-29 21:03:41,2025-05-29 21:29:41
Case-10,Submit Request,Agent_Smith,2025-06-07 20:03:41,2025-06-07 20:30:41
Case-10,Deny Request,System_Bot,2025-06-07 20:33:41,2025-06-07 20:49:41
Case-10,Close Request,Manager_Jones,2025-06-07 20:52:41,2025-06-07 21:05:41
Case-11,Submit Request,Manager_Jones,2025-05-27 20:02:41,2025-05-27 20:07:41
Case-11,Deny Request,Agent_Smith,2025-05-27 20:15:41,2025-05-27 20:26:41
Case-11,Close Request,Agent_Smith,2025-05-27 20:33:41,2025-05-27 20:56:41
Case-12,Submit Request,Agent_Smith,2025-06-09 20:05:41,2025-06-09 20:12:41
Case-12,Deny Request,System_Bot,2025-06-09 20:19:41,2025-06-09 20:42:41
Case-12,Close Request,Agent_Smith,2025-06-09 20:51:41,2025-06-09 21:10:41
Case-13,Submit Request,System_Bot,2025-06-06 20:00:41,2025-06-06 20:09:41
Case-13,Deny Request,System_Bot,2025-06-06 20:14:41,2025-06-06 20:30:41
Case-13,Close Request,System_Bot,2025-06-06 20:33:41,2025-06-06 20:55:41
Case-14,Submit Request,System_Bot,2025-06-14 19:58:41,2025-06-14 20:10:41
Case-14,Deny Request,System_Bot,2025-06-14 20:20:41,2025-06-14 20:47:41
Case-14,Close Request,System_Bot,2025-06-14 20:49:41,2025-06-14 21:05:41
Case-15,Submit Request,Manager_Jones,2025-06-07 20:06:41,2025-06-07 20:31:41
Case-15,Approve Request,Manager_Jones,2025-06-07 20:34:41,2025-06-07 20:41:41
Case-15,Close Request,Agent_Smith,2025-06-07 20:43:41,2025-06-07 20:52:41
Case-16,Submit Request,Agent_Smith,2025-06-18 19:58:41,2025-06-18 20:15:41
Case-16,Deny Request,System_Bot,2025-06-18 20:21:41,2025-06-18 20:28:41
Case-16,Close Request,Agent_Smith,2025-06-18 20:36:41,2025-06-18 20:49:41
Case-17,Submit Request,Manager_Jones,2025-06-01 20:05:41,2025-06-01 20:18:41
Case-17,Deny Request,Manager_Jones,2025-06-01 20:21:41,2025-06-01 20:48:41
Case-17,Close Request,System_Bot,2025-06-01 20:56:41,2025-06-01 21:23:41
Case-18,Submit Request,System_Bot,2025-06-18 20:06:41,2025-06-18 20:13:41
Case-18,Approve Request,Manager_Jones,2025-06-18 20:15:41,2025-06-18 20:25:41
Case-18,Close Request,System_Bot,2025-06-18 20:35:41,2025-06-18 20:59:41
Case-19,Submit Request,Manager_Jones,2025-06-16 20:01:41,2025-06-16 20:11:41
