case_id,activity,resource,enabled_time,start_time,end_time
0,Submit Application,Agent_A,2025-05-28 19:15:16,2025-05-28 19:15:21,2025-05-28 19:16:06
0,Notify Applicant,Manager_Y,2025-05-28 19:17:06,2025-05-28 19:17:11,2025-05-28 19:18:00
0,Reject Application,Agent_A,2025-05-28 19:19:00,2025-05-28 19:19:05,2025-05-28 19:20:01
0,Verify Documents,Bot_X,2025-05-28 19:21:01,2025-05-28 19:21:06,2025-05-28 19:21:42
1,Submit Application,Agent_A,2025-06-06 19:15:16,2025-06-06 19:15:21,2025-06-06 19:16:16
1,Verify Documents,Officer_B,2025-06-06 19:17:16,2025-06-06 19:17:21,2025-06-06 19:18:11
1,Approve Application,Agent_A,2025-06-06 19:19:11,2025-06-06 19:19:16,2025-06-06 19:19:38
1,Disburse Loan,Bot_X,2025-06-06 19:20:38,2025-06-06 19:20:43,2025-06-06 19:21:12
1,Reject Application,Bot_X,2025-06-06 19:22:12,2025-06-06 19:22:17,2025-06-06 19:23:04
2,Submit Application,Manager_Y,2025-05-20 19:15:16,2025-05-20 19:15:21,2025-05-20 19:16:08
2,Approve Application,Bot_X,2025-05-20 19:17:08,2025-05-20 19:17:13,2025-05-20 19:17:44
2,Disburse Loan,Agent_A,2025-05-20 19:18:44,2025-05-20 19:18:49,2025-05-20 19:19:38
2,Verify Documents,Manager_Y,2025-05-20 19:20:38,2025-05-20 19:20:43,2025-05-20 19:21:35
2,Check Credit Score,Agent_A,2025-05-20 19:22:35,2025-05-20 19:22:40,2025-05-20 19:22:55
3,Submit Application,Manager_Y,2025-05-25 19:15:16,2025-05-25 19:15:21,2025-05-25 19:15:48
3,Check Credit Score,Agent_A,2025-05-25 19:16:48,2025-05-25 19:16:53,2025-05-25 19:17:36
3,Notify Applicant,Officer_B,2025-05-25 19:18:36,2025-05-25 19:18:41,2025-05-25 19:19:05
4,Submit Application,Manager_Y,2025-05-24 19:15:16,2025-05-24 19:15:21,2025-05-24 19:16:09
4,Notify Applicant,Manager_Y,2025-05-24 19:17:09,2025-05-24 19:17:14,2025-05-24 19:18:14
4,Approve Application,Manager_Y,2025-05-24 19:19:14,2025-05-24 19:19:19,2025-05-24 19:20:19
4,Disburse Loan,Officer_B,2025-05-24 19:21:19,2025-05-24 19:21:24,2025-05-24 19:22:17
4,Check Credit Score,Officer_B,2025-05-24 19:23:17,2025-05-24 19:23:22,2025-05-24 19:23:52
5,Submit Application,Bot_X,2025-06-17 19:15:16,2025-06-17 19:15:21,2025-06-17 19:15:54
5,Verify Documents,Officer_B,2025-06-17 19:16:54,2025-06-17 19:16:59,2025-06-17 19:17:19
5,Check Credit Score,Officer_B,2025-06-17 19:18:19,2025-06-17 19:18:24,2025-06-17 19:18:34
6,Submit Application,Manager_Y,2025-05-28 19:15:16,2025-05-28 19:15:21,2025-05-28 19:16:17
6,Disburse Loan,Manager_Y,2025-05-28 19:17:17,2025-05-28 19:17:22,2025-05-28 19:18:09
7,Submit Application,Officer_B,2025-05-25 19:15:16,2025-05-25 19:15:21,2025-05-25 19:15:35
7,Approve Application,Officer_B,2025-05-25 19:16:35,2025-05-25 19:16:40,2025-05-25 19:17:24
7,Verify Documents,Agent_A,2025-05-25 19:18:24,2025-05-25 19:18:29,2025-05-25 19:19:17
7,Disburse Loan,Bot_X,2025-05-25 19:20:17,2025-05-25 19:20:22,2025-05-25 19:21:17
8,Submit Application,Officer_B,2025-06-07 19:15:16,2025-06-07 19:15:21,2025-06-07 19:16:20
8,Disburse Loan,Manager_Y,2025-06-07 19:17:20,2025-06-07 19:17:25,2025-06-07 19:17:50
8,Verify Documents,Officer_B,2025-06-07 19:18:50,2025-06-07 19:18:55,2025-06-07 19:19:34
8,Notify Applicant,Agent_A,2025-06-07 19:20:34,2025-06-07 19:20:39,2025-06-07 19:21:11
8,Approve Application,Bot_X,2025-06-07 19:22:11,2025-06-07 19:22:16,2025-06-07 19:22:39
9,Submit Application,Officer_B,2025-06-06 19:15:16,2025-06-06 19:15:21,2025-06-06 19:16:02
