case_id,resource,role,activity,FixedCost,ResourceCost,start_time,end_time,enabled_time
1,Clerk-000003,Clerk,Check application form completeness,0,0.02,2023-02-09T08:30:00.000,2023-02-09T08:31:21.205,2023-02-09T08:30:00.000
1,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-09T08:31:21.205,2023-02-09T08:51:23.899,2023-02-09T08:31:21.205
2,Clerk-000005,Clerk,Check application form completeness,0,0.1,2023-02-09T09:00:00.000,2023-02-09T09:06:01.923,2023-02-09T09:00:00.000
1,Loan Officer-000001,Loan Officer,Assess loan risk,0,0.0,2023-02-09T08:51:23.899,2023-02-09T09:11:23.899,2023-02-09T08:51:23.899
2,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-09T09:06:01.923,2023-02-09T09:14:20.081,2023-02-09T09:06:01.923
1,Loan Officer-000002,Loan Officer,Design loan offer,0,0.0,2023-02-09T09:11:23.899,2023-02-09T09:19:01.634,2023-02-09T09:11:23.899
1,Senior Officer-000001,Senior Officer,Approve loan offer,0,0.0,2023-02-09T09:19:01.634,2023-02-09T09:39:01.634,2023-02-09T09:19:01.634
3,Clerk-000008,Clerk,Check application form completeness,0,0.16,2023-02-09T09:30:00.000,2023-02-09T09:39:23.764,2023-02-09T09:30:00.000
3,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-09T09:39:23.764,2023-02-09T09:45:58.199,2023-02-09T09:39:23.764
4,Clerk-000003,Clerk,Check application form completeness,0,0.34,2023-02-09T10:00:00.000,2023-02-09T10:20:23.497,2023-02-09T10:00:00.000
4,Clerk-000004,Clerk,Return application back to applicant,0,0.08,2023-02-09T10:20:23.497,2023-02-09T10:25:23.497,2023-02-09T10:20:23.497
5,Clerk-000005,Clerk,Check application form completeness,0,0.08,2023-02-09T10:30:00.000,2023-02-09T10:35:00.888,2023-02-09T10:30:00.000
3,Loan Officer-000001,Loan Officer,Assess loan risk,0,0.0,2023-02-09T10:22:19.619,2023-02-09T10:42:19.619,2023-02-09T10:22:19.619
1,Clerk-000007,Clerk,Cancel application,0,0.08,2023-02-09T10:39:01.634,2023-02-09T10:44:01.634,2023-02-09T10:39:01.634
2,Loan Officer-000002,Loan Officer,Assess loan risk,0,0.0,2023-02-09T10:32:36.365,2023-02-09T10:52:36.365,2023-02-09T10:32:36.365
3,Loan Officer-000003,Loan Officer,Design loan offer,0,0.0,2023-02-09T10:42:19.619,2023-02-09T10:57:28.246,2023-02-09T10:42:19.619
6,Clerk-000002,Clerk,Check application form completeness,0,0.03,2023-02-09T11:00:00.000,2023-02-09T11:01:48.739,2023-02-09T11:00:00.000
2,Loan Officer-000004,Loan Officer,Design loan offer,0,0.0,2023-02-09T10:52:36.365,2023-02-09T11:06:32.329,2023-02-09T10:52:36.365
3,Senior Officer-000001,Senior Officer,Approve loan offer,0,0.0,2023-02-09T10:57:28.246,2023-02-09T11:17:28.246,2023-02-09T10:57:28.246
5,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-09T10:35:00.888,2023-02-09T11:21:05.272,2023-02-09T10:35:00.888
4,Applicant-000001,Applicant,Applicant completes form,0,0.0,2023-02-09T10:25:23.497,2023-02-09T11:25:23.497,2023-02-09T10:25:23.497
2,Senior Officer-000002,Senior Officer,Approve loan offer,0,0.0,2023-02-09T11:06:32.329,2023-02-09T11:26:32.329,2023-02-09T11:06:32.329
5,Loan Officer-000001,Loan Officer,Assess loan risk,0,0.0,2023-02-09T11:21:05.272,2023-02-09T11:41:05.272,2023-02-09T11:21:05.272
5,Loan Officer-000002,Loan Officer,Design loan offer,0,0.0,2023-02-09T11:41:05.272,2023-02-09T11:41:07.632,2023-02-09T11:41:05.272
6,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-09T11:01:48.739,2023-02-09T11:54:31.775,2023-02-09T11:01:48.739
5,Senior Officer-000001,Senior Officer,Approve loan offer,0,0.0,2023-02-09T11:41:07.632,2023-02-09T12:01:07.632,2023-02-09T11:41:07.632
8,Clerk-000005,Clerk,Check application form completeness,0,0.16,2023-02-09T12:00:00.000,2023-02-09T12:09:29.541,2023-02-09T12:00:00.000
8,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-09T12:09:29.541,2023-02-09T12:10:12.098,2023-02-09T12:09:29.541
4,Clerk-000001,Clerk,Check application form completeness,0,0.76,2023-02-09T11:25:23.497,2023-02-09T12:10:58.447,2023-02-09T11:25:23.497
6,Loan Officer-000003,Loan Officer,Assess loan risk,0,0.0,2023-02-09T11:54:31.775,2023-02-09T12:14:31.775,2023-02-09T11:54:31.775
7,Clerk-000004,Clerk,Check application form completeness,0,0.8,2023-02-09T11:30:00.000,2023-02-09T12:18:04.174,2023-02-09T11:30:00.000
3,Clerk-000002,Clerk,Approve application,0,0.08,2023-02-09T12:17:28.246,2023-02-09T12:22:28.246,2023-02-09T12:17:28.246
7,Clerk-000003,Clerk,Return application back to applicant,0,0.08,2023-02-09T12:18:04.174,2023-02-09T12:23:04.174,2023-02-09T12:18:04.174
6,Loan Officer-000004,Loan Officer,Design loan offer,0,0.0,2023-02-09T12:14:31.775,2023-02-09T12:23:23.205,2023-02-09T12:14:31.775
2,Clerk-000006,Clerk,Approve application,0,0.08,2023-02-09T12:26:32.329,2023-02-09T12:31:32.329,2023-02-09T12:26:32.329
6,Senior Officer-000002,Senior Officer,Approve loan offer,0,0.0,2023-02-09T12:23:23.205,2023-02-09T12:43:23.205,2023-02-09T12:23:23.205
8,Loan Officer-000001,Loan Officer,Assess loan risk,0,0.0,2023-02-09T12:28:28.230,2023-02-09T12:48:28.230,2023-02-09T12:28:28.230
8,Loan Officer-000002,Loan Officer,Design loan offer,0,0.0,2023-02-09T12:48:28.230,2023-02-09T12:52:00.196,2023-02-09T12:48:28.230
9,Clerk-000005,Clerk,Check application form completeness,0,0.45,2023-02-09T12:30:00.000,2023-02-09T12:57:11.501,2023-02-09T12:30:00.000
5,Clerk-000002,Clerk,Approve application,0,0.08,2023-02-09T13:01:07.632,2023-02-09T13:06:07.632,2023-02-09T13:01:07.632
4,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-09T12:10:58.447,2023-02-09T13:11:48.500,2023-02-09T12:10:58.447
8,Senior Officer-000001,Senior Officer,Approve loan offer,0,0.0,2023-02-09T12:52:00.196,2023-02-09T13:12:00.196,2023-02-09T12:52:00.196
7,Applicant-000001,Applicant,Applicant completes form,0,0.0,2023-02-09T12:23:04.174,2023-02-09T13:23:04.174,2023-02-09T12:23:04.174
7,Clerk-000003,Clerk,Check application form completeness,0,0.08,2023-02-09T13:23:04.174,2023-02-09T13:27:56.369,2023-02-09T13:23:04.174
4,Loan Officer-000003,Loan Officer,Assess loan risk,0,0.0,2023-02-09T13:11:48.500,2023-02-09T13:31:48.500,2023-02-09T13:11:48.500
11,Clerk-000006,Clerk,Check application form completeness,0,0.12,2023-02-09T13:30:00.000,2023-02-09T13:36:58.748,2023-02-09T13:30:00.000
11,Clerk-000007,Clerk,Return application back to applicant,0,0.08,2023-02-09T13:36:58.748,2023-02-09T13:41:58.748,2023-02-09T13:36:58.748
6,Clerk-000005,Clerk,Cancel application,0,0.08,2023-02-09T13:43:23.205,2023-02-09T13:48:23.205,2023-02-09T13:43:23.205
7,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-09T13:27:56.369,2023-02-09T13:53:54.318,2023-02-09T13:27:56.369
10,Clerk-000004,Clerk,Check application form completeness,0,0.9,2023-02-09T13:00:00.000,2023-02-09T13:54:00.747,2023-02-09T13:00:00.000
4,Loan Officer-000004,Loan Officer,Design loan offer,0,0.0,2023-02-09T13:31:48.500,2023-02-09T13:55:53.084,2023-02-09T13:31:48.500
9,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-09T12:57:11.501,2023-02-09T13:58:16.987,2023-02-09T12:57:11.501
7,Loan Officer-000001,Loan Officer,Assess loan risk,0,0.0,2023-02-09T13:53:54.318,2023-02-09T14:13:54.318,2023-02-09T13:53:54.318
4,Senior Officer-000002,Senior Officer,Approve loan offer,0,0.0,2023-02-09T13:55:53.084,2023-02-09T14:15:53.084,2023-02-09T13:55:53.084
8,Clerk-000003,Clerk,Cancel application,0,0.08,2023-02-09T14:12:00.196,2023-02-09T14:17:00.196,2023-02-09T14:12:00.196
9,Loan Officer-000002,Loan Officer,Assess loan risk,0,0.0,2023-02-09T13:58:16.987,2023-02-09T14:18:16.987,2023-02-09T13:58:16.987
10,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-09T13:54:00.747,2023-02-09T14:21:26.232,2023-02-09T13:54:00.747
9,Loan Officer-000003,Loan Officer,Design loan offer,0,0.0,2023-02-09T14:18:16.987,2023-02-09T14:38:38.688,2023-02-09T14:18:16.987
10,Loan Officer-000004,Loan Officer,Assess loan risk,0,0.0,2023-02-09T14:21:26.232,2023-02-09T14:41:26.232,2023-02-09T14:21:26.232
11,Applicant-000001,Applicant,Applicant completes form,0,0.0,2023-02-09T13:41:58.748,2023-02-09T14:41:58.748,2023-02-09T13:41:58.748
12,Clerk-000002,Clerk,Check application form completeness,0,0.9,2023-02-09T14:00:00.000,2023-02-09T14:54:12.548,2023-02-09T14:00:00.000
13,Clerk-000008,Clerk,Check application form completeness,0,0.47,2023-02-09T14:30:00.000,2023-02-09T14:58:10.842,2023-02-09T14:30:00.000
9,Senior Officer-000001,Senior Officer,Approve loan offer,0,0.0,2023-02-09T14:38:38.688,2023-02-09T14:58:38.688,2023-02-09T14:38:38.688
4,Clerk-000003,Clerk,Cancel application,0,0.08,2023-02-10T07:00:00.000,2023-02-10T07:05:00.000,2023-02-09T15:15:53.084
9,Clerk-000008,Clerk,Cancel application,0,0.08,2023-02-10T07:00:00.000,2023-02-10T07:05:00.000,2023-02-09T15:58:38.688
7,Clerk-000001,Clerk,Reject application,0,0.17,2023-02-10T07:00:00.000,2023-02-10T07:10:00.000,2023-02-09T15:13:54.318
10,Clerk-000002,Clerk,Reject application,0,0.17,2023-02-10T07:00:00.000,2023-02-10T07:10:00.000,2023-02-09T15:41:26.232
13,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-09T14:58:10.842,2023-02-10T07:21:58.484,2023-02-09T14:58:10.842
11,Clerk-000006,Clerk,Check application form completeness,0,0.69,2023-02-09T14:41:58.748,2023-02-10T07:23:27.436,2023-02-09T14:41:58.748
12,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-09T14:54:12.548,2023-02-10T07:28:00.216,2023-02-09T14:54:12.548
15,Clerk-000008,Clerk,Check application form completeness,0,0.01,2023-02-10T07:30:00.000,2023-02-10T07:30:52.341,2023-02-10T07:30:00.000
15,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-10T07:30:52.341,2023-02-10T07:35:41.721,2023-02-10T07:30:52.341
11,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-10T07:23:27.436,2023-02-10T07:38:06.656,2023-02-10T07:23:27.436
12,Loan Officer-000001,Loan Officer,Assess loan risk,0,0.0,2023-02-10T07:28:00.216,2023-02-10T07:48:00.216,2023-02-10T07:28:00.216
16,Clerk-000001,Clerk,Check application form completeness,0,0.1,2023-02-10T08:00:00.000,2023-02-10T08:06:10.509,2023-02-10T08:00:00.000
14,Clerk-000004,Clerk,Check application form completeness,0,1.11,2023-02-10T07:00:00.000,2023-02-10T08:06:33.469,2023-02-09T15:00:00.000
16,Appraiser-000001,Appraiser,Appraise property,0,0.0,2023-02-10T08:06:10.509,2023-02-10T08:14:10.213,2023-02-10T08:06:10.509
11,Loan Officer-000002,Loan Officer,Assess loan risk,0,0.0,2023-02-10T08:02:42.158,2023-02-10T08:22:42.158,2023-02-10T08:02:42.158
11,Loan Officer-000004,Loan Officer,Design loan offer,0,0.0,2023-02-10T08:22:42.158,2023-02-10T08:25:41.243,2023-02-10T08:22:42.158
13,Loan Officer-000003,Loan Officer,Assess loan risk,0,0.0,2023-02-10T08:15:09.755,2023-02-10T08:35:09.755,2023-02-10T08:15:09.755
14,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-10T08:06:33.469,2023-02-10T08:42:09.925,2023-02-10T08:06:33.469
11,Senior Officer-000002,Senior Officer,Approve loan offer,0,0.0,2023-02-10T08:25:41.243,2023-02-10T08:45:41.243,2023-02-10T08:25:41.243
15,Loan Officer-000001,Loan Officer,Assess loan risk,0,0.0,2023-02-10T08:34:51.480,2023-02-10T08:54:51.480,2023-02-10T08:34:51.480
12,Clerk-000003,Clerk,Reject application,0,0.17,2023-02-10T08:48:00.216,2023-02-10T08:58:00.216,2023-02-10T08:48:00.216
16,Loan Officer-000002,Loan Officer,Assess loan risk,0,0.0,2023-02-10T08:38:40.844,2023-02-10T08:58:40.844,2023-02-10T08:38:40.844
18,Clerk-000007,Clerk,Check application form completeness,0,0.14,2023-02-10T09:00:00.000,2023-02-10T09:08:22.594,2023-02-10T09:00:00.000
17,Clerk-000008,Clerk,Check application form completeness,0,0.68,2023-02-10T08:30:00.000,2023-02-10T09:10:51.617,2023-02-10T08:30:00.000
17,Appraiser-000002,Appraiser,Appraise property,0,0.0,2023-02-10T09:10:51.617,2023-02-10T09:14:51.560,2023-02-10T09:10:51.617
13,Clerk-000002,Clerk,Reject application,0,0.17,2023-02-10T09:35:09.755,2023-02-10T09:45:09.755,2023-02-10T09:35:09.755
11,Clerk-000003,Clerk,Cancel application,0,0.08,2023-02-10T09:45:41.243,2023-02-10T09:50:41.243,2023-02-10T09:45:41.243
14,Loan Officer-000004,Loan Officer,Assess loan risk,0,0.0,2023-02-10T09:42:36.200,2023-02-10T10:02:36.200,2023-02-10T09:42:36.200
15,Clerk-000007,Clerk,Reject application,0,0.17,2023-02-10T09:54:51.480,2023-02-10T10:04:51.480,2023-02-10T09:54:51.480
16,Clerk-000008,Clerk,Reject application,0,0.17,2023-02-10T09:58:40.844,2023-02-10T10:08:40.844,2023-02-10T09:58:40.844
